Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7 X7R 16V","C_0603_1608_DensityHigh",43.0004,12.8499,-135.0000,top
"C2","1u X7R 10V","C_0402_1005_DensityHigh",26.0004,24.7999,-135.0000,top
"C3","100n X7R 50V","C_0402_1005_DensityHigh",37.2504,24.3749,-45.0000,top
"C4","100n X7R 50V","C_0402_1005_DensityHigh",26.8254,18.9999,135.0000,top
"C5","100n X7R 50V","C_0402_1005_DensityHigh",32.5504,8.8999,135.0000,top
"C6","1u X7R 10V","C_0402_1005_DensityHigh",27.3926,20.1421,-135.0000,top
"C7","4u7 X5R 25V","C_0402_1005_DensityHigh",28.5176,21.2671,45.0000,top
"C8","100n X7R 50V","C_0402_1005_DensityHigh",42.4254,13.7999,-135.0000,top
"C9","1u X7R 10V","C_0402_1005_DensityHigh",43.0904,18.5499,-45.0000,top
"C10","100n X7R 50V","C_0402_1005_DensityHigh",27.9676,19.5671,-135.0000,top
"C11","100n X7R 50V","C_0402_1005_DensityHigh",29.0926,20.6921,45.0000,top
"C12","1n X7R 25V","C_0402_1005_DensityHigh",32.4754,24.6499,135.0000,top
"C13","1n X7R 25V","C_0402_1005_DensityHigh",30.8254,22.9999,135.0000,top
"C14","1n X7R 25V","C_0402_1005_DensityHigh",29.6754,21.8499,135.0000,top
"C15","2u2 X7R 100V","R_0805_2012_DensityHigh",11.0704,46.7999,0.0000,top
"C16","2u2 X7R 100V","R_0805_2012_DensityHigh",45.1504,32.6999,-135.0000,top
"C17","2u2 X7R 100V","R_0805_2012_DensityHigh",11.0754,42.9899,180.0000,top
"C18","2u2 X7R 100V","R_0805_2012_DensityHigh",49.6504,32.6999,45.0000,top
"C19","4u7 X7R 100V","C_1206_3216_DensityHigh",50.0704,24.4499,-135.0000,top
"C20","2u2 X7R 100V","R_0805_2012_DensityHigh",11.0754,41.4519,180.0000,top
"C21","4u7 X7R 100V","C_1206_3216_DensityHigh",44.9204,29.5999,-135.0000,top
"C22","100n X7R 100V","C_0603_1608_DensityHigh",10.8904,40.0899,180.0000,top
"C23","220n X7S 100V","C_0603_1608_DensityHigh",46.1326,28.5377,-135.0000,top
"C24","1u X7R 10V","C_0402_1005_DensityHigh",7.9404,36.9869,-90.0000,top
"C25","220n X7S 100V","C_0603_1608_DensityHigh",49.0104,25.6599,-135.0000,top
"C26","1u X7R 10V","C_0402_1005_DensityHigh",50.4323,28.7222,135.0000,top
"C27","100n X7R 50V","C_0402_1005_DensityHigh",7.9404,38.6599,-90.0000,top
"C28","100n X7R 50V","C_0402_1005_DensityHigh",50.2879,27.2342,45.0000,top
"C29","100n X7R 50V","C_0402_1005_DensityHigh",8.7254,42.7499,0.0000,top
"C30","15u X7R 25V","C_1210_3225_DensityHigh",42.0355,26.7600,45.0000,top
